review_id,source_url,lecture_id,course_name,professor,semester,rating,raw_review_text,difficulty_label,workload_label,grading_strictness_label
1001-001,https://everytime.kr/lecture/view/1001,1001,컴퓨팅사고,이교수,2025년 1학기,5,수업이 쉽고 과제가 적어서 부담이 없습니다,1,1,2
1001-002,https://everytime.kr/lecture/view/1001,1001,컴퓨팅사고,이교수,2025년 1학기,5,시험이 쉽고 강의가 무난해서 따라가기 좋습니다,1,1,2
1001-003,https://everytime.kr/lecture/view/1001,1001,컴퓨팅사고,이교수,2024년 2학기,5,과제 부담이 없고 내용도 쉬웠습니다,1,1,2
1001-004,https://everytime.kr/lecture/view/1001,1001,컴퓨팅사고,이교수,2024년 2학기,4,기초 내용이라 시험 준비가 쉽습니다,1,2,2
1001-005,https://everytime.kr/lecture/view/1001,1001,컴퓨팅사고,이교수,2024년 1학기,5,강의가 친절하고 난이도가 낮아서 편했습니다,1,1,2
1002-001,https://everytime.kr/lecture/view/1002,1002,프로그래밍기초,박교수,2025년 1학기,4,내용은 쉬운 편이지만 코딩 연습은 필요합니다,2,2,3
1002-002,https://everytime.kr/lecture/view/1002,1002,프로그래밍기초,박교수,2025년 1학기,4,과제는 조금 있지만 난이도는 낮은 편입니다,2,2,3
1002-003,https://everytime.kr/lecture/view/1002,1002,프로그래밍기초,박교수,2024년 2학기,4,기초 문법 위주라 어렵지 않았습니다,2,2,3
1002-004,https://everytime.kr/lecture/view/1002,1002,프로그래밍기초,박교수,2024년 2학기,4,시험은 기본 문제 중심이고 복습하면 충분합니다,2,2,3
1002-005,https://everytime.kr/lecture/view/1002,1002,프로그래밍기초,박교수,2024년 1학기,4,코딩 초보도 따라갈 수 있는 난이도입니다,2,2,3
1003-001,https://everytime.kr/lecture/view/1003,1003,데이터베이스,최교수,2025년 1학기,3,난이도와 과제량 모두 무난한 수업입니다,3,3,3
1003-002,https://everytime.kr/lecture/view/1003,1003,데이터베이스,최교수,2025년 1학기,3,SQL 과제와 시험이 적당해서 평균적인 부담입니다,3,3,3
1003-003,https://everytime.kr/lecture/view/1003,1003,데이터베이스,최교수,2024년 2학기,3,프로젝트는 있지만 설명을 들으면 할 만합니다,3,3,3
1003-004,https://everytime.kr/lecture/view/1003,1003,데이터베이스,최교수,2024년 2학기,3,중간 기말 모두 평범하고 공부량도 보통입니다,3,3,3
1003-005,https://everytime.kr/lecture/view/1003,1003,데이터베이스,최교수,2024년 1학기,3,수업 난이도는 보통이고 과제도 보통입니다,3,3,3
1004-001,https://everytime.kr/lecture/view/1004,1004,자료구조,김교수,2025년 1학기,3,자료구조 개념이 어렵고 구현 과제가 많습니다,4,4,3
1004-002,https://everytime.kr/lecture/view/1004,1004,자료구조,김교수,2025년 1학기,3,시험 난이도가 높고 코딩 연습이 많이 필요합니다,4,4,3
1004-003,https://everytime.kr/lecture/view/1004,1004,자료구조,김교수,2024년 2학기,3,과제는 많지만 복습하면 이해할 수 있습니다,4,4,3
1004-004,https://everytime.kr/lecture/view/1004,1004,자료구조,김교수,2024년 2학기,3,트리 그래프 부분이 어렵고 공부량이 많았습니다,4,4,3
1004-005,https://everytime.kr/lecture/view/1004,1004,자료구조,김교수,2024년 1학기,3,구현 과제가 많아서 시간이 오래 걸립니다,4,4,3
1005-001,https://everytime.kr/lecture/view/1005,1005,운영체제,정교수,2025년 1학기,2,개념이 매우 어렵고 시험 범위가 넓습니다,5,5,4
1005-002,https://everytime.kr/lecture/view/1005,1005,운영체제,정교수,2025년 1학기,2,과제가 많고 내용 이해가 쉽지 않습니다,5,5,4
1005-003,https://everytime.kr/lecture/view/1005,1005,운영체제,정교수,2024년 2학기,2,스케줄링 메모리 파트가 어렵고 공부량이 많습니다,5,5,4
1005-004,https://everytime.kr/lecture/view/1005,1005,운영체제,정교수,2024년 2학기,2,시험 문제가 어렵고 암기할 범위도 넓습니다,5,5,4
1005-005,https://everytime.kr/lecture/view/1005,1005,운영체제,정교수,2024년 1학기,2,혼자 공부해야 할 내용이 많아서 부담이 큽니다,5,5,4
