course_name,description,credits,time_slot,core,difficulty_label,workload_label
자료구조,"스택 큐 트리 그래프 구현 과제가 많고 중간고사 범위가 넓다.",3,"Mon 09:00-10:30; Wed 09:00-10:30",true,5,4
알고리즘,"정렬 탐색 동적계획법 그래프 알고리즘을 다루며 문제 풀이 난이도가 높다.",3,"Tue 10:30-12:00; Thu 10:30-12:00",true,5,4
운영체제,"프로세스 스레드 메모리 파일시스템을 다루고 개념 이해와 과제가 모두 어렵다.",3,"Mon 13:00-14:30; Wed 13:00-14:30",true,5,5
데이터베이스,"SQL 정규화 트랜잭션 설계를 다루며 실습 과제와 팀 프로젝트가 있다.",3,"Tue 13:00-14:30; Thu 13:00-14:30",true,4,4
컴퓨터네트워크,"TCP IP 라우팅 응용 계층을 다루며 암기와 개념 이해가 모두 필요하다.",3,"Fri 09:00-12:00",true,4,3
컴퓨터구조,"CPU 명령어 메모리 캐시 파이프라인을 배우며 시험 범위가 넓다.",3,"Mon 10:30-12:00; Wed 10:30-12:00",true,5,4
인공지능,"탐색 추론 머신러닝 기초를 다루고 수학 개념과 구현 과제가 함께 나온다.",3,"Mon 15:00-16:30; Wed 15:00-16:30",false,4,4
소프트웨어공학,"요구사항 분석 설계 테스트 일정 관리를 배우며 팀 프로젝트 중심으로 진행된다.",3,"Tue 09:00-10:30; Thu 09:00-10:30",false,3,3
웹프로그래밍,"HTML CSS JavaScript 서버 기초를 실습하며 작은 구현 과제가 자주 있다.",3,"Mon 10:30-12:00; Wed 10:30-12:00",false,3,4
모바일프로그래밍,"모바일 앱 화면 구성과 API 연동을 실습하며 프로젝트 부담이 있는 편이다.",3,"Tue 15:00-16:30; Thu 15:00-16:30",false,4,4
데이터마이닝,"분류 군집화 연관분석을 다루며 실습과 리포트가 함께 요구된다.",3,"Fri 13:00-16:00",false,4,4
인간컴퓨터상호작용,"사용자 조사 인터페이스 평가를 다루며 발표와 보고서가 포함된다.",3,"Mon 16:30-18:00",false,2,3
정보보호,"암호 인증 네트워크 보안을 다루며 개념 이해와 사례 분석이 필요하다.",3,"Wed 16:30-18:00; Fri 10:30-12:00",false,4,3
컴퓨터그래픽스,"좌표 변환 렌더링 셰이딩을 다루며 수학과 구현 부담이 있다.",3,"Tue 16:30-18:00; Thu 16:30-18:00",false,4,4
확률과통계,"확률분포 추정 검정을 배우며 수식 이해와 계산 연습이 필요하다.",3,"Mon 12:00-13:30; Wed 12:00-13:30",false,4,3
선형대수,"행렬 벡터공간 고유값을 배우며 수학 개념 이해가 중요하다.",3,"Tue 12:00-13:30; Thu 12:00-13:30",false,4,2
창의적공학설계,"아이디어 도출 시제품 제작 발표 중심 수업으로 팀 활동 부담이 크다.",3,"Fri 15:00-18:00",false,2,5
캡스톤디자인,"팀 프로젝트를 장기간 진행하며 구현 발표 보고서 부담이 크다.",3,"Mon 18:00-20:00; Wed 18:00-20:00",false,3,5
클라우드컴퓨팅,"가상화 컨테이너 배포를 실습하며 실습 과제가 있는 편이다.",3,"Tue 18:00-20:00",false,3,3
빅데이터처리,"대용량 데이터 처리와 분산 처리 개념을 배우며 실습 난이도가 있다.",3,"Thu 18:00-20:00",false,4,4
프로그래밍언어론,"문법 의미론 타입 시스템을 배우며 추상적인 개념 이해가 어렵다.",3,"Mon 14:30-16:00; Wed 14:30-16:00",false,5,3
오픈소스실습,"Git GitHub 협업 방식과 오픈소스 참여 과정을 실습한다.",3,"Fri 09:00-10:30; Wed 10:30-12:00",false,2,3
머신러닝개론,"회귀 분류 모델 평가를 다루며 수학과 실습을 함께 수행한다.",3,"Tue 14:30-16:00; Thu 14:30-16:00",false,5,4
파이썬데이터분석,"파이썬 pandas 시각화 기초를 실습하며 난이도는 낮은 편이다.",3,"Tue 09:00-10:30; Thu 09:00-10:30",false,2,3
